# file,function,edges_covered,edges_total
sqlite3.c,select_stmt,6,10
sqlite3.c,create_stmt,2,11
sqlite3.c,edit_stmt,7,10
sqlite3.c,remove_stmt,0,12
sqlite3.c,show_stats,4,7
sqlite3.c,start_fuzz,6,15
sqlite3.c,end_fuzz,3,6
sqlite3.c,pause_fuzz,2,8
sqlite3.c,edit_data,15,15
sqlite3.c,end_campaign,1,20
sqlite3.c,close_fuzz,4,8
sqlite3.c,clear_all,2,3
sqlite3.c,get_data,7,14
sqlite3.c,save_data,18,19
sqlite3.c,analyze_data,10,17
sqlite3.c,new_campaign,17,21
shell.c,select_stmt,9,10
shell.c,create_stmt,11,11
shell.c,edit_stmt,0,10
shell.c,remove_stmt,2,12
shell.c,show_stats,6,7
shell.c,start_fuzz,1,15
shell.c,end_fuzz,6,6
shell.c,pause_fuzz,4,8
shell.c,edit_data,4,15
shell.c,end_campaign,9,20
shell.c,close_fuzz,3,8
shell.c,clear_all,0,3
shell.c,get_data,12,14
shell.c,save_data,11,19
shell.c,analyze_data,1,17
shell.c,new_campaign,10,21

